Name,Type,Address,Distance(Meters),Latitude,Longitude,Distance(Miles)
Highway Inn,N/A,"Coral Street, Honolulu, HI 96850, United States of America",1356,21.2979757,-157.8610614,0.842581430897138
Asahi Grill Ward,N/A,"Coral Street, Honolulu, HI 96850, United States of America",1356,21.2979757,-157.8610614,0.842581430897138
Dew Drop Inn,N/A,"Coral Street, Honolulu, HI 96850, United States of America",1356,21.2979757,-157.8610614,0.842581430897138
Pizza Hut,pizza,"North Kuakini Street, Honolulu, HI 96817, United States of America",1567,21.32418705,-157.85769666669313,0.9736910783302473
Izakaya Danji,japanese,"1091 South Beretania Street, Honolulu, HI 96843, United States of America",1572,21.30212165,-157.84533385743387,0.9767979420134962
Real K.F.C.,chicken;korean,"Young Street, Honolulu, HI 96814, United States of America",1601,21.3014988,-157.8455385,0.9948177513763407
Doraku Sushi,N/A,"Young Street, Honolulu, HI 96814, United States of America",1601,21.3014988,-157.8455385,0.9948177513763407
Aloha Sushi,sushi,"1021 Pensacola Street, Honolulu, HI 96814, United States of America",1639,21.3010598,-157.8454314,1.0184299153690333
Bac Nam,vietnamese,"1117 South King Street, Honolulu, HI 96814, United States of America",1700,21.3001246,-157.84538809999998,1.0563336523046716
Ernestino Ballina Galley,N/A,"1117 South King Street, Honolulu, HI 96814, United States of America",1700,21.3001246,-157.84538809999998,1.0563336523046716
Dave & Buster's,american,"1044 Auahi Street, Honolulu, HI 96814, United States of America",1745,21.2945725,-157.8541673,1.0842954254539128
Morio's Sushi Bistro,sushi,"1160 South King Street, Honolulu, HI 96814, United States of America",1746,21.3002432,-157.84469453964243,1.0849167981905627
Simple Joy,N/A,"1160 South King Street, Honolulu, HI 96814, United States of America",1746,21.3002432,-157.84469453964243,1.0849167981905627
Harry’s Cafe,N/A,"1160 South King Street, Honolulu, HI 96814, United States of America",1746,21.3002432,-157.84469453964243,1.0849167981905627
Buca di Beppo,italian,"1044 Auahi Street, Honolulu, HI 96814, United States of America",1774,21.2943374,-157.8540522,1.1023152348167573
